abstract,term
"Background/aim: Coronavirus-19 (COVID-19) pandemic outbreak is currently having a huge impact on medical resource allocation. Breast Cancer (BC) patients are concerned both with BC treatment and COVID-19. This study aimed to estimate the impact of anxiety among patients, caused by the spreading of COVID-19. Patients and methods: Between the 16th of January and the 20th of March 2020, we retrospectively enrolled 160 patients. Eighty-two patients with a suspected breast lesion (SBL) were divided into two groups: PRE-COVID-19-SBL and POST-COVID-19-SBL. Seventy-eight BC patients were divided into PRE-COVID-19-BC and POST-COVID-19-BC. Patient characteristics including age, marital status, SBL/BC diameter, personal and family history of BC, clinical stage and molecular subtype were recorded. Procedure Refusal (PR) and Surgical Refusal (SR) were also recorded with their reason. Results: BC and SBL analysis showed no difference in pre-treatment characteristics (p>0.05). Both POST-COVID-19-SBL and POST-COVID-19-BC groups showed higher rates of PR and SR (p=0.0208, p=0.0065 respectively). Infection risk represented primary reason for refusal among POST-COVID-19 patients. Conclusion: COVID-19-related anxiety could affect patients' decision-making process.",covid
"The COVID-19 pandemic has led to frequent referrals to the emergency department on suspicion of this infection in maintenance hemodialysis (MHD) and kidney transplant (KT) patients. We aimed to describe their clinical features comparing confirmed and suspected non-confirmed COVID-19 cases during the Spanish epidemic peak. Confirmed COVID-19 ((+)COVID-19) corresponds to patient with positive RT-PCR SARS-CoV-2 assay. Non-confirmed COVID-19 ((-)COVID-19) corresponds to patients with negative RT-PCR. COVID-19 was suspected in 61 patients (40/803 KT (4.9%), 21/220 MHD (9.5%)). Prevalence of (+)COVID-19 was 3.2% in KT and 3.6% in MHD patients. Thirty-four (26 KT and 8 MHD) were (+)COVID-19 and 27 (14 KT and 13 MHD) (-)COVID-19. In comparison with (-)COVID-19 patients, (+)COVID-19 showed higher frequency of typical viral symptoms (cough, dyspnea, asthenia and myalgias), pneumonia (88.2% vs. 14.3%) and LDH and CRP while lower phosphate levels, need of hospital admission (100% vs. 63%), use of non-invasive mechanical ventilation (36% vs. 11%) and mortality (38% vs. 0%) (p < 0.001). Time from symptoms onset to admission was longer in patients who finally died than in survivors (8.5 vs. 3.8, p = 0.007). In KT and MHD patients, (+)COVID-19 shows more clinical severity than suspected non-confirmed cases. Prompt RT-PCR is mandatory to confirm COVID-19 diagnosis.",covid
"COVID-19 diseases have been a nationwide pandemic condition. However, cutaneous, skin histopathological manifestations of COVID-19 infection are not well described. Our study aims are to present heterogeneous cutaneous, histopathological manifestations in COVID-19 patients, to investigate the possible relationship between cutaneous manifestations and histopathological features in COVID-19 infection. We performed a systemic review in PubMed database and Chinese medical journal search engines which were wangfang.data (http://www.wanfangdata.com.cn/), Science China (http://www.cnki.net/) until June 17th, 2020. Search terms ""COVID-19,"" ""SARS-Coronavirus-2"" and ""Coronavirus"" were used in combination with ""cutaneous,"" ""rash,"" ""skin,"" ""dermatology."" Seventy-five papers were included with confirmed COVID-19 infection. The most frequent cutaneous manifestation of COVID-19 present was erythema, nearly 38.4%. Trunk was the most affected location, presenting in 51.4% patients. Rash occurred before onset of other symptoms was in 5.3% patients. Seventy-seven patients were received treatments. Rash was dismissed in 49% patients, improved in 21.2% patients ranged from 0 to 17 days. The histopathological examination present in 39 patients. Skin is one of target organs affected by COVID-19 infection. Cutaneous manifestations should be paid more attention. It can help doctors diagnose COVID-19 infection in prodromal stage, understand progression, and determine prognosis of COVID-19 infection.",covid
"Background/Aims Novel coronavirus disease 2019 (COVID-19) is a global challenge due to little available knowledge and treatment protocols. Thus, there is a great need for collecting data related to COVID-19 from all around the world. Hence, we conducted this study, collecting daily data on COVID-19, to map the epidemiology outbreak and forecast its trajectory for May 2020. Methodology The data was collected from the officially released reports of the National Institute of Health (NIH), Pakistan, and the World Health Organization (WHO). The analysis was done using Statistical Package for the Social Sciences (SPSS) version 23 (IBM Corp., Armonk, NY), and forecasting was done using a simple moving average in time series modeler/expert modeler. Results The purpose of this study is to draw the attention of international, as well as national, governing bodies to the rapidly rising number of COVID-19 cases in Pakistan, and the urgency of evaluating the efficacy of the currently implemented strategy against COVID-19. According to this study, there is now an alarming increase in the number of COVID-19 patients in Pakistan, despite a contained spread in the beginning. The predicted number of COVID-19 cases can go over 35,000 by the end of May 2020. Conclusion It is crucial for governing bodies, administrators, and researchers to re-evaluate the current situation, designed policies, and implemented strategies.",covid
"Background: Coronavirus disease 19 (COVID-19) is a global health threat with significant medical, economic, social and political implications. The optimal strategies for combating COVID-19 have not been fully determined and vary across countries. Methods: By the end of February 2020 in Taiwan, 2,150 patients received diagnostic COVID-19 testing and 39 confirmed cases were detected. This is a relatively lower rate of infection compared to other Asian countries. In this article, we summarize the epidemiological characteristics of the 39 infected patients as well as public and hospital responses to COVID-19. Results: Thirty-nine COVID-19 cases and one death have been confirmed in Taiwan. Seventeen of these patients were infected by family members or in hospital wards, emphasizing how COVID-19 is mostly spread by close contact. We examined how hospital have responded to COVID-19, including their implementation of patient route control, outdoor clinics, hospital visit restrictions and ward and staff modifications. We also studied the public's use of face masks in response to COVID-19. These strategies may reduce the spread of COVID-19 in other countries. Conclusion: The emergence and spread of COVID-19 is a threat to health worldwide. Taiwan has reported lower infected cases and its strategies may contribute to further disease prevention and control.",covid
"COVID-19 or Coronavirus pandemic has generated a very serious and grave global concern regarding the health of every person in the whole world. Besides, due to the rapid diffusion of the viral infection, there are already alarms on how to deal with the psychiatric aspects of COVID-19 pandemic in persons with an established diagnosis of psychiatric disorders, staff, and those in self-isolation. What is the influence of COVID-19 on mental health? The current study will review the psychiatric implications of COVID-19 pandemic on the general population, the bearing of social isolation, the prevention behaviours, and clinical cases of people who required psychiatric admission to hospital due to the emotional impact of COVID-19 social circumstances.",covid
"Acute Respiratory Distress Syndrome (ARDS) can frequently occur as a complication of Coronavirus Disease 19 (COVID-19). As the number of COVID-19 cases increases around the world, it is inevitable that COVID-19 and ARDS will complicate some pregnancies. Currently, there is scant data to guide decision-making on the timing of delivery for these patients. We present the case of a 41-year-old patient with severe ARDS from COVID-19 who was also 32 weeks pregnant, whose respiratory status improved dramatically after delivery.",covid
"There have been numerous recent inquiries regarding use of hyperbaric oxygen (HBO2) for patients with COVID-19. Questions have been raised pertinent to two possible mechanisms for HBO2 in this clinical context. The UHMS Hyperbaric Oxygen Therapy Committee, UHMS Executive Committee, with collaborative input from multiple senior UHMS members and researchers have drafted this position statement.",covid
"COVID-19 has had a devastating impact on the care of cancer patients. Thus, tele-oncology has become a necessity to improve cancer care. Several organisations have issued guidelines for its use during COVID-19. Despite certain shortcomings, tele-oncology has great potential to help cancer patients during COVID-19 and in the future.",covid
"This paper is part of Forum COVID-19: Perspectives in the Humanities and Social Sciences.The article connects and juxtaposes current day (social scientific) discussions on the social effects of the COVID-crisis with the history of social science disaster research during the Cold War. It elaborates on statements regarding the role of social inequalities in disaster, the idea of the ""revealing"" nature of disaster and crisis, and the relationship between disaster science, public and politics.",covid
"This is the sixth epidemiological report for coronavirus disease 2019 (COVID-19), reported in Australia as at 19:00 Australian Eastern Daylight Time [AEDT] 7 March 2020. It includes data on COVID-19 cases diagnosed in Australia, the international situation and a review of current evidence.",covid
"With a large international sample (n = 8317), the present study examined which beliefs and attitudes about COVID-19 predict 1) following government recommendations, 2) taking health precautions (including mask wearing, social distancing, handwashing, and staying at home), and 3) encouraging others to take health precautions. The results demonstrate the importance of believing that taking health precautions will be effective for avoiding COVID-19 and generally prioritizing one's health. These beliefs continued to be important predictors of health behaviors after controlling for demographic and personality variables. In contrast, we found that perceiving oneself as vulnerable to COVID-19, the perceived severity of catching COVID-19, and trust in government were of relatively little importance. We also found that women were somewhat more likely to engage in these health behaviors than men, but that age was generally unrelated to voluntary compliance behaviors. These findings may suggest avenues and dead ends for behavioral interventions during COVID-19 and beyond.",covid
The novel coronavirus disease 2019 (COVID-19) is caused by the severe acute respiratory syndrome-corona virus-2 (SARS-CoV-2). Diabetes mellitus (DM) is one of the risk factors associated with severe illness in COVID-19 leading to increased hospital admissions and mortality. COVID-19 can precipitate hyperglycemic emergencies like diabetic ketoacidosis (DKA) and hyperosmolar hyperglycemic state (HHS) in patients with DM. We present a case of a patient with COVID-19 admitted to the hospital with combined DKA and HHS. The case highlights the challenge of managing patients with DM suffering from COVID-19.,covid
"This paper describes the potential impact of the coronavirus disease 2019 (COVID-19) pandemic on the readymade garment (RMG) workers of Bangladesh. It articulates the RMG workers' existing vulnerability during the COVID-19 pandemic based on currently available evidence and personal conversations/communications with RMG workers. COVID-19 has already impacted RMG workers' health (both physical and mental health status) and wellbeing, and resulted in loss of employment. We argue that the COVID-19 pandemic will have long-lasting effects on the garment workers, especially related to their health issues, financial hardship and inability to pay for essentials such as food, and future employment opportunities. The stakeholders (such as the international retailers/brands, Bangladesh Garment Manufacturers and Exporters Association, Government of Bangladesh) responsible for the global supply chain RMG factories should reconsider the health and overall wellbeing needs of the RMG workers during the ongoing COVID-19 pandemic.",covid
"Objective: We aimed to detect the malignant arrhythmic potential of COVID-19 with surface electrocardiographic (ECG) markers.Material and method: Of the ECG parameters PR, QT, QTc, QTd, TPe, and Tpe/QTc were measured in 51 COVID-19 patients and 40 in control subjects.Results: Compared to control group mean QTc (410.8 ± 24.3 msec vs. 394.6 ± 20.3 msec, p < .001) and Tpe/QTc (0.19 ± 0.02 vs. 0.18 ± 0.04, p = .036) and median QTd (47.52 vs. 46.5) values were significantly higher in COVID-19 patients. Troponin levels were significantly correlated with heart rate (r = 0.387, p = .006) but not with ECG parameters.Conclusion: Several ventricular arrhythmia surface ECG predictors including QTc, QTd, and Tpe/QTc are increased in COVID-19 patients. Since medications used in COVID-19 patients have the potential to affect these parameters, giving importance to these ECG markers may have a significant contribution in decreasing disease-related arrhythmias.",covid
"Coronavirus disease 19 (COVID-19) is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). We describe the case of a 59-year-old man who presented with headache, hypertension and a single episode of fever with no other symptoms. He subsequently developed unilateral weakness. Computer tomography identified a cerebral venous sinus thrombosis (CVST). A subsequent test for COVID-19 was positive. This is the first report of CVST as a presenting symptom of COVID-19 infection. Learning points: Thrombotic events may be the initial presenting symptom of COVID-19.These thrombotic events include stroke, venous thromboembolism, pulmonary embolism and cardiac complications.Clinicians should carefully consider the risk of thrombosis in patients positive for COVID-19, including prophylaxis and treatment beyond discharge.",covid
"The orthopedic community has seen the COVID-19 pandemic decimate elective surgical volumes in most geographies. Patients and essential workers, such as health care providers, remain rightfully concerned about how to appropriately begin to return to work and community activity in a safe and responsible manner. Many believe that testing for the presence of antibodies on a widespread scale could help drive evidence-based decision-making, both on an individual and societal scale. Much information, and an equal amount of misinformation, has been produced on antibody testing. Education about the role and science of such testing is critically important for programs to be effectively understood and managed.",covid
"Objective: This study aimed to assess cancer patients' psychological burden during the COVID-19 pandemic by investigating distress (distress-thermometer), health status (EQ-5D-3L), general anxiety (GAD-7), COVID-19-related fear and associated behavioral changes and comparing these to matched healthy controls, using propensity score matching (PSM). Methods: During the first days of the COVID-19 pandemic in Germany, March 16 to 30, 2020, 150 actually treated cancer patients and 150 matched healthy controls participated in this study. Participants completed an anonymous online survey assessing health status, distress, general anxiety, COVID-19-related fear and behavioral changes (i.e., adherent safety behavior and dysfunctional safety behavior). Results: Cancer patients showed no elevated level of distress, U = 10,657.5, p = 0.428, general anxiety U = 10,015.5, p = 0.099, or COVID-19-related fear compared to healthy controls, U = 10,948, p = 0.680. Both groups showed elevated COVID-19-related fear. Cancer patients reported more adherent safety behavior, such as washing hands more often or avoiding public places, U = 8,285, p < 0.001, d = 0.468. They also reported more dysfunctional safety behavior such as buying larger quantities of basic food, compared to healthy controls U = 9,599, p = 0.029, d = 0.256. Adherent safety behavior could be significantly explained by cancer diagnosis, increased COVID-19-related fear and subjective level of information about COVID-19, R 2 = 0.215, F(3) = 27.026, p < 0.001. Conclusion: This suggests that cancer patients are more likely to utilize adherent safety behavior. Cancer patients reported comparable levels of distress and anxiety compared to healthy controls. Still, the COVID-19 pandemic is associated with elevated COVID-19-related fear. Therefore, specific interventions are needed to prevent anxiety and improve mental health during the COVID-19 pandemic.",covid
"Objectives: This survey conducted by the International Society of Radiology and supported by the European Society of Radiology aimed to collect information regarding radiology departments' current practices in the management of patients with COVID-19. Methods: Responses from 50 radiology departments involved in the management of COVID-19 patients representing 33 countries across all continents were analyzed. The analysis revealed important variations in imaging practices related to COVID-19 across the world for different disease severity and various clinical scenarios. Results: Imaging is usually not performed in asymptomatic patients (69% of institutions do not image) but is used at the end of confinement (in 60% of institutions). In the majority of institutions, chest imaging is used in suspected or confirmed patients with COVID-19 (89% and 94%). All imaging departments involved in this survey reported the use of imaging in COVID-19 patients showing severe symptoms or who were critically ill. However, there is a wide variation in imaging modality type used for each clinical scenario. The use of imaging is applied in line with existing guidelines and recommendations in 98% of institutions with structured reporting recorded in 58% of institutions. The vast majority of institutions reported a significant impact of the COVID-19 pandemic on the imaging department's routine activity (83%). Conclusion: We believe that the results of this survey will help to understand current heterogeneities in radiology practice and to identify needs and gaps in the organization and function of radiology departments worldwide in relation to the COVID-19 pandemic. The results of this survey may inform the development of an overall strategy for radiology department organization and imaging protocols in pandemic conditions. Key points: • The results of this survey, which included responses from 50 radiology departments representing 33 countries, showed important variations in imaging practices related to COVID-19 across the world. • While imaging is usually not performed in asymptomatic patients (69% of institutions), it is used in suspected or confirmed patients with COVID-19, in COVID-19 patients showing severe symptoms or who were critically ill, and at the end of confinement (89%, 94%, 100%, 100%, 60% of institutions, respectively). However, there is a wide variation in imaging modality type used for each clinical scenario. • In 98% of institutions, the use of imaging is applied in line with existing guidelines and recommendations, with structured reporting recorded in 58% of institutions. COVID-19 pandemic made a significant impact on the imaging department's routine activity in 83% of institutions.",covid
"Background and objective: Since December 2019, increasing cases of novel coronavirus disease 2019 (COVID-19) are being detected worldwide. The purpose of this paper is to provide a scientific reference for the global prevention and control of COVID-19. Methods: General demographic characteristics, epidemiological history, and clinical symptoms of COVID-19 were collected that had been reported on the websites of multiple Municipal Health Commissions in China. We herein describe distributions in time, place, and population of COVID-19. Results: As of midnight on February 10, 2020, the number of confirmed cases of COVID-19 in China was 42,638, and the province with the largest number of confirmed cases was Hubei (31728), followed by Guangdong (1177), Zhejiang (1117), and Henan (1105) province. The number of cases and the speed of confirmed cases in provinces other than Hubei were more moderate than those of the Hubei province. The median (interquartile range) age of patients with COVID-19 was 44 (33, 54) years, with a range of 10 months to 89 years. Conclusions: The COVID-19 epidemic should be considered a global threat and the steps for control include early diagnosis and treatment, as well as isolation.",covid
"Cytokine pathways and their signaling disorders can be the cause of onset and pathogenesis of many diseases such as autoimmune diseases and COVID-19 infection. Autoimmune patients may be at higher risk of developing infection due to the impaired immune responses, the use of immunosuppressive drugs, and damage to various organs. Increased secretion of inflammatory cytokines and intolerance of the patient's immune system to COVID-19 infection are the leading causes of hospitalization of these patients. The content used in this paper has been taken from English language articles (2005-2020) retrieved from the PubMed database and Google Scholar search engine using ""COVID-19,"" ""Autoimmune disease,"" ""Therapeutic,"" ""Pathogenesis,"" and ""Pathway"" keywords. The emergence of COVID-19 and its association with autoimmune disorders is a major challenge in the management of these diseases. The results showed that the use of corticosteroids in the treatment of autoimmune diseases can make diagnosis and treatment of COVID-19 more challenging by preventing the fever. Due to the common pathogenesis of COVID-19 and autoimmune diseases, the use of autoimmune drugs as a possible treatment option could help control the virus. KEY POINTS: • Inflammatory cytokines play an essential role in the pathogenesis of COVID-19 • ACE2 dysfunctions are related to the with COVID-19 and autoimmune diseases • The use autoimmune diseases drugs can be useful in treating COVID-19.",covid
"This study aims to understand the knowledge, attitudes and practices of COVID-19 in the Chinese context and to provide insights for developing targeted outbreak prevention and control measures among the general public. We conducted an online survey of urban and rural residents in Henan Province. A total of 517 valid questionnaires were collected via the online platform. The mean scores for knowledge and practice were 5.57/9 and 2.04/3, respectively. More than 90% of the participants believed COVID-19 was serious and preventable, were concerned about the disease process, and actively engaged in learning related knowledge. Our results showed that the COVID-19 knowledge level was significantly different among groups with different ages, genders, education levels and marital statuses; COVID-19 practice was significantly different among different regions. Multiple linear regression analysis showed that education level, female sex, unmarried status, and health care worker status had a significant impact on COVID-19 knowledge; urban area was associated with a higher practice score; COVID-19 knowledge was significantly associated with residents' attitude toward preventive measures that can prevent COVID-19 infection; urban area was significantly related to the willingness to go to a fever clinic to check for suspected infection. We found that Chinese urban and rural residents held a moderate level of COVID-19 knowledge and practice and showed a positive attitude toward the disease. It is necessary to develop relevant education programs targeting the general population in China to improve COVID-19-related knowledge, attitudes and practices, particularly for rural and undereducated residents.",covid
"Objective: To study the clinical features of asymptomatic or subclinical coronavirus disease 2019 (COVID-19) in children. Methods: A retrospective analysis was performed for the clinical data of 53 children who were confirmed with asymptomatic or subclinical COVID-19, including epidemiological history, clinical typing, co-infection, time to clearance of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) nucleic acid in nasopharyngeal swabs, laboratory examination results, length of hospital stay, and treatment outcome. Results: The children with asymptomatic or subclinical COVID-19 accounted for 30.5% (53/174) in children with COVID-19 hospitalized in the COVID-19 ward of Wuhan Children's Hospital. All cases occurred with familial aggregation. Among the 53 children, 35 (66%) had asymptomatic infection and 18 (34%) had subclinical infection. Mycoplasma infection was found in 17 children (32%). For the 53 children, the mean time to clearance of SARS-CoV-2 nucleic acid in nasopharyngeal swabs was 9±4 days. Most laboratory markers were maintained within the normal range. The mean hospital stay was 11±4 days. Lung CT of 18 children with subclinical COVID-19 showed ground-glass opacities, linear opacities, and patchy opacities, with relatively limited lesions. Conclusions: There is a high proportion of children with asymptomatic or subclinical COVID-19 among the children with COVID-19 hospitalized in the COVID-19 ward. The transmission risk of asymptomatic or subclinical COVID-19 should be taken seriously.",covid
"This document addresses the current coronavirus disease 2019 (COVID-19) pandemic for providers and patients in labor and delivery (L&D). The goals are to provide guidance regarding methods to appropriately screen and test pregnant patients for COVID-19 prior to, and at admission to L&D reduce risk of maternal and neonatal COVID-19 disease through minimizing hospital contact and appropriate isolation; and provide specific guidance for management of L&D of the COVID-19-positive woman, as well as the critically ill COVID-19-positive woman. The first 5 sections deal with L&D issues in general, for all women, during the COVID-19 pandemic. These include Section 1: Appropriate screening, testing, and preparation of pregnant women for COVID-19 before visit and/or admission to L&D Section 2: Screening of patients coming to L&D triage; Section 3: General changes to routine L&D work flow; Section 4: Intrapartum care; Section 5: Postpartum care; Section 6 deals with special care for the COVID-19-positive or suspected pregnant woman in L&D and Section 7 deals with the COVID-19-positive/suspected woman who is critically ill. These are suggestions, which can be adapted to local needs and capabilities.",covid
"The World health organization (WHO) declared Coronavirus disease 2019 (COVID-19) a global pandemic and a severe public health crisis. Drastic measures to combat COVID-19 are warranted due to its contagiousness and higher mortality rates, specifically in the aged patient population. At the current stage, due to the lack of effective treatment strategies for COVID-19 innovative approaches need to be considered. It is well known that host cellular miRNAs can directly target both viral 3'UTR and coding region of the viral genome to induce the antiviral effect. In this study, we did in silico analysis of human miRNAs targeting SARS (4 isolates) and COVID-19 (29 recent isolates from different regions) genome and correlated our findings with aging and underlying conditions. We found 848 common miRNAs targeting the SARS genome and 873 common microRNAs targeting the COVID-19 genome. Out of a total of 848 miRNAs from SARS, only 558 commonly present in all COVID-19 isolates. Interestingly, 315 miRNAs are unique for COVID-19 isolates and 290 miRNAs unique to SARS. We also noted that out of 29 COVID-19 isolates, 19 isolates have identical miRNA targets. The COVID-19 isolates, Netherland (EPI_ISL_422601), Australia (EPI_ISL_413214), and Wuhan (EPI_ISL_403931) showed six, four, and four unique miRNAs targets, respectively. Furthermore, GO, and KEGG pathway analysis showed that COVID-19 targeting human miRNAs involved in various age-related signaling and diseases. Recent studies also suggested that some of the human miRNAs targeting COVID-19 decreased with aging and underlying conditions. GO and KEGG identified impaired signaling pathway may be due to low abundance miRNA which might be one of the contributing factors for the increasing severity and mortality in aged individuals and with other underlying conditions. Further, in vitro and in vivo studies are needed to validate some of these targets and identify potential therapeutic targets.",covid
"COVID-19 has forced governments to make drastic changes to healthcare systems. To start making informed decisions about cancer care, we need to understand the scale of COVID-19 infection. Therefore, we introduced swab testing for patients visiting Guy's Cancer Centre. Our Centre is one of the largest UK Cancer Centers at the epicenter of the UK COVID-19 epidemic. The first COVID-19 positive cancer patient was reported on 29 February 2020. We analyzed data from 7-15 May 2020 for COVID-19 tests in our cancer patients. 2,647 patients attended for outpatient, chemotherapy, or radiotherapy appointments. 654 were swabbed for COVID-19 (25%). Of those tested, 9 were positive for COVID-19 (1.38%) of which 7 were asymptomatic. Cancer service providers will need to understand their local cancer population prevalence. The absolute priority is that cancer patients have the confidence to attend hospitals and be reassured that they will be treated in a COVID-19 managed environment.",covid
"Importance: Solid organ transplants have declined significantly during the coronavirus disease (COVID-19) pandemic in the US. Limited data exist regarding changes in heart transplant (HT). Objective: To describe national and regional trends in waitlist inactivations, waitlist additions, donor recovery, and HT volume during COVID-19. Design, setting, and participants: This descriptive cross-sectional study used publicly available data from the United Network for Organ Sharing and US Centers for Disease Control and Prevention, using 8 prespecified United Network for Organ Sharing regions. Adult (18 years or older) HT candidates listed and deceased donors recovered between January 19 to May 9, 2020. Exposures: COVID-19 pandemic. Main outcomes and measures: Changes in waitlist inactivations, waitlist additions, deceased donor recovery, and transplant volumes from the pre-COVID-19 (January 19-March 15, 2020) to the COVID-19 era (March 15-May 9, 2020). Density mapping and linear regression with interrupted time series analysis were used to characterize changes over time and changes by region. Results: During the COVID-19 era, there were 600 waitlist inactivations compared with 343 during the pre-COVID era (75% increase). Waitlist additions decreased from 637 to 395 (37% reduction). These changes were most profound in the Northeast and Great Lakes regions with high rates of COVID-19. Deceased donor recovery decreased by 26% from 1878 to 1395; the most significant decrease occurred in the North Midwest despite low COVID-19 prevalence. Heart transplant volumes were significantly reduced across all regions except the Northwest. The largest decrease was seen in the Northeast where COVID-19 case rates were highest. From the pre-COVID-19 era to the COVID-19 era, there was significant regional variation in waitlist additions (eg, 69% decrease in the Northeast vs 8.5% increase in the South Midwest; P < .001) and deceased donor recovery (eg, 41% decrease in North Midwest vs 16% decrease in South Midwest; P = .02). Conclusions and relevance: Heart transplant volumes have been significantly reduced in recent months, even in regions with a lower prevalence of COVID-19 cases. This has been accompanied by increased waitlist inactivations, decreased waitlist additions, and decreased donor recovery. Future studies are needed to determine if the COVID-19 pandemic is associated with changes in waitlist mortality.",covid
"COVID-19 is a serious multisystem disease caused by severe acute respiratory syndrome coronavirus 2. Due to the COVID-19 crisis, that still keeps its impacts worldwide, numerous scheduled medical activities have been postponed and this interruption has a potential to modify the management of many cutaneous conditions including pemphigus. This narrative review aims to discuss the management of pemphigus in the era of COVID-19, considering the necessity to balance suitable pemphigus treatment with minimal risk of COVID-19-related mortality and morbidity. The data on the effect of treatments used for pemphigus on COVID-19 are limited. However, the evidence to manage patients properly is evolving and our knowledge is updated. Current expert recommendations include that patients with pemphigus should be informed clearly to avoid mismanagement and they should be monitored regularly for symptoms of COVID-19. Patients with mild disease can be managed with topical or intralesional corticosteroids, dapsone, or doxycycline. Systemic corticosteroids should be tapered to the lowest effective dose during the pandemic. Prednis(ol)one ≤10 mg/d can be continued in patients with COVID-19 while prednis(ol)one >10 mg/d may be reduced considering the activity of the disease. Conventional immunosuppressive therapies should only be discontinued in confirmed cases of COVID-19. Postponing rituximab treatment should be considered on a case by case basis. Intravenous immunoglobulin is not likely to increase the risk of infection and may be considered a safe option in patients with COVID-19. Given the psychological burden brought by COVID 19, online or face-to-face psychological support programs should be considered.",covid
"The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) or novel coronavirus disease (COVID-19) pandemic is sweeping through the world. The overwhelming pathology seems to be in the upper and lower respiratory tract; however, the involvement of other organs, including the liver, has also been reported. Whether liver enzyme derangement is a common feature of COVID-19 is not known. For those patients who have concomitant liver enzyme derangement with COVID-19, the prevalence, extent, and rate of progression to liver failure is not known. In view of unclear evidence regarding this, we conducted a systematic review of the literature on liver injury in COVID-19 patients. The aim of this review was to ascertain whether liver enzyme derangement is a common feature in adult patients with confirmed COVID-19 infection, determine the relation of deranged liver enzymes with outcome or mortality in COVID-19, and determine if liver failure is a common feature of COVID-19. The PubMed and OVID Medline databases were searched systematically. Cross-sectional studies and case-control studies involving adult patients with confirmed COVID-19 and having data on liver enzymes were included. Independent extraction of the data was done by two independent authors. A total of 23 articles were identified by the initial filtering search. Abstracts were reviewed and screened to shortlist studies. A full-text assessment of the shortlisted articles for eligibility criteria identified five articles. Manual searching via the LitCovid (National Library of Medicine tool) search hub produced a further two studies that were eligible. Many of the COVID-19 patients in the various studies had a varying degree of deranged liver enzymes. The degree of injury was mild in most cases; and it appears to correlate with the severity of COVID-19 infection. Severe liver injury causing significant liver damage, liver failure, or death is uncommon. The main limitations of the study were the heterogeneity of studies and incomplete data on the trajectory of liver tests during the disease course as well as the final outcomes of the patients in the studies.",covid
"Background: Since the outbreak of COVID-19, no data have been available for hospitalised psychiatric patients who are suspected to have COVID-19. We performed a comprehensive investigation of the clinical features of hospitalised patients with schizophrenia with or without suspected COVID-19 in Hubei Province, China. Aim: To explore the clinical characteristics of hospitalised patients with schizophrenia with suspected COVID-19 in Hubei Province, China. Methods: 21 hospitalised patients with schizophrenia with suspected COVID-19 (COVID-19 suspected group) in the isolation ward of a mental health hospital in Wuhan and 30 hospitalised patients with schizophrenia (clean group) in the general ward of another mental health hospital in Yichang were recruited. We retrospectively reviewed their clinical characteristics, laboratory findings and chest CT results before 21 February 2020. We also compared the emotional and mental symptoms between the two groups. Results: Medical records revealed that 21 COVID-19 suspected patients were transferred to the isolation ward between 30 January 2020 and 15 February 2020. The mean age (SD) of COVID-19 suspected patients was 43.1 (2.6). 12 (57.1%) patients showed abnormalities on chest CT before onset of respiratory symptoms. 14 (66.7%) patients had psychiatric medications adjustment after detection of abnormal chest CT findings. By 21 February, one patient was confirmed to have COVID-19. Even though the remaining 20 (95.2%) were negative for at least two reverse transcription PCR tests, 11 (52.4%) patients met the diagnostic criteria for clinically confirmed cases. Compared with patients in the clean group, patients in the suspected COVID-19 group showed significantly higher stress, depression and anxiety levels and poorer sleep quality. Conclusion: Setting up an independent isolation ward for hospitalised psychiatric patients who are suspected to have symptoms of COVID-19 helped control the spread of the epidemic. Patients with schizophrenia suspected to have COVID-19 showed increased stress and mood and sleep disturbances, which should be appropriately managed.",covid
"•Awareness of atypical clinical presentation of COVID patients.•Continued sharing and publishing of case series to better understand symptoms, signs, and prognosis of patients with COVID.•Continued studies needed to fully undertstand the long term consequences of COVID on the neurological system.",covid
"COVID-19 outbreak has promoted many public health measures in the general population. However, its impact on a vulnerable population with severe mental illness (SMI) is less addressed. Aim of this study was to determine the impact of COVID -19 to patients with SMI and identify its relation with their COVID-19 knowledge. A cross-sectional telephonic survey among 132 patients with SMI who were clinically stable before the COVID-19 pandemic was conducted. A 23 item interview proforma comprising of self-reported knowledge related to COVID-19 by patients and their illness and treatment status from their caregivers. Eleven patients were completely not aware of the ongoing COVID-19 pandemic. Three fourth of patients were not worried about getting COVID-19 and lacks adequate knowledge to identify symptoms. Two-third of patients lacked adequate knowledge of precautionary measures against COVID-19. One out of five patients lacked knowledge of the mode of transmission and stopped their psychiatric treatment. Thirty percent showed features of relapse of symptoms during this lockdown period. In multivariate regression analysis, patients from lower socioeconomic status, low literacy levels, with inadequate social support showed less knowledge related to COVID-19. Mental health services which target this vulnerable population during early disaster reduce the burden to the community.",covid
